code,system
CA42.4,icd11
CA42.3,icd11
J20.4,icd11
J20.1,icd11
1E30&XN5SG,icd11
1 E30,icd11
1 E31,icd11
1 E32,icd11
488.1,icd11
488.0,icd11
J11.8,icd11
J10.8,icd11
J11.1,icd11
J10,icd11
J10.1,icd11
J10.0,icd11
J11.0,icd11
J09,icd11
J11,icd11
1 E30,icd11
1 E31,icd11
1 E32,icd11
1E30&XN5SG,icd11
488.1,icd11
488.0,icd11
J10.0,icd11
J10.1,icd11
J10,icd11
J11.0,icd11
J09,icd11
J11,icd11
J11.8,icd11
J11.1,icd11
J10.8,icd11
1D01.00,icd11
XN1P6,icd11
CA40.02,icd11
CA40.12,icd11
J12.2,icd11
J14,icd11
QC01.8,icd11
Z25.1,icd11
CA40.1Z,icd11
A49.2,icd11
1G40&XN1P6,icd11
A41.3,icd11
487.1,icd11
487.1,icd11
487.8,icd11
487.8,icd11
488.8,icd11
488.8,icd11
